Fecha-Hora,Cantidad de Likes,Cantidad de retweets,Veces citado,Tweet,url,Candidato,Espacio
2023-05-21 23:55:25+00:00,1237,171,2,"@ABENEGASLYNCH_h Muchas gracias Profesor! Nos obligan a debatir sobre su interna mientras el pueblo argentino se debate entre la vida y la muerte, o entre el hambre y la dignidad!",https://twitter.com/VickyVillarruel/status/1660479448133558273,Villarruel,LLA
2023-05-28 21:38:22+00:00,295,48,19,"Enorme triunfo de @IdiazAyuso y el Partido Popular contra el populismo español. En equipo, con esfuerzo y trabajo: se puede.",https://twitter.com/mariuvidal/status/1662981672470560768,Vidal,JxC
2023-05-25 11:14:29+00:00,3178,360,1087,"Como habrán visto, anoche subí mal un textual sobre lo que dije en LN+ el lunes a la noche.

Ojalá seamos más los políticos que elegimos manejar nuestras cuentas, leer, y contestar. Quedó claro que no soy la más habilidosa con las redes, lo que todavía no está claro es qué festeja el kirchnerismo hoy ¿El aumento de la inflación? ¿La pobreza? ¿El dólar?",https://twitter.com/mariuvidal/status/1661737505245532166,Vidal,JxC
2023-05-24 12:19:53+00:00,172,45,10,"Consecuencias de basar la política cambiaria en parches que solo consiguen aumentar la brecha del tipo de cambio y destruir la confianza de la gente en nuestra moneda. 

Kirchnerismo.",https://twitter.com/mariuvidal/status/1661391573815373825,Vidal,JxC
2023-05-23 21:21:28+00:00,2,0,1,"@VaLizaSoy Paros como el de hoy le complican la vida a cientos de miles de argentinos, porteños ó no. 

El país es grande, pero el problema es innegable: los ciudadanos no pueden ser rehenes de ningún gremio.",https://twitter.com/mariuvidal/status/1661165482991337472,Vidal,JxC
2023-05-23 21:20:13+00:00,1,0,0,@GriseSalinas ❤️,https://twitter.com/mariuvidal/status/1661165169173561345,Vidal,JxC
2023-05-23 19:11:28+00:00,575,148,29,"El kirchnerismo se resignó: ya no ofrecen ni futuro ni esperanza. Se dedican a atacar a la oposición e instalar miedo.

No van a alcanzar los manotazos de ahogado. Vamos a recuperar Argentina, en las urnas. https://t.co/alvjrVNbcu",https://twitter.com/mariuvidal/status/1661132765360734208,Vidal,JxC
2023-05-23 10:20:21+00:00,309,75,64,"Los argentinos me piden en la calle que ESTEMOS A LA ALTURA. 

Los que confían en Juntos por el Cambio nos quieren ver trabajando unidos, no acumulando cargos y poder como el kirchnerismo. https://t.co/RwhDTaHAq9",https://twitter.com/mariuvidal/status/1660999106922266625,Vidal,JxC
2023-05-22 23:05:04+00:00,832,147,25,Que nunca falten las anécdotas de @mauriciomacri en Boca… 😂 https://t.co/CMp94xK8A9,https://twitter.com/mariuvidal/status/1660829166986485770,Vidal,JxC
2023-05-22 18:29:01+00:00,62,13,1,"Pero el gobierno insiste en tomar medidas a corto plazo, que son irracionales y de ninguna manera resuelven los problemas macroeconómicos reales que tiene el país. Una política monetaria exitosa debe ser consistente con la realidad. 

Un billete de $2.000, al cambio paralelo, hoy equivale a USD 4 dólares. Con la inflación y el atraso cambiario que tenemos, esta medida no es ni más ni menos que una bomba de humo.",https://twitter.com/mariuvidal/status/1660759695882059776,Vidal,JxC
2023-05-22 18:29:00+00:00,70,19,7,"¿Saben a cuánto equivalen esos USD 300 millones que se ahorraría el Estado? 

Con esa plata se podrían construir, por ejemplo, más de 100 escuelas nuevas. https://t.co/wYJ6XVl4q0",https://twitter.com/mariuvidal/status/1660759692845498368,Vidal,JxC
2023-05-22 18:28:59+00:00,52,13,0,"Si, en cambio, hoy tuviéramos un billete de $20.000, Argentina se podría ahorrar más de USD 300 millones. Así, podría recuperar los dólares que el gobierno malgastó entre 2020 y 2021. 

https://t.co/fqfOCg6htF",https://twitter.com/mariuvidal/status/1660759685387939841,Vidal,JxC
2023-05-22 18:28:58+00:00,41,11,0,"Con el billete de $2.000, el Estado apenas se ahorraría alrededor de USD 21 millones este año. Muy lejos de compensar todo lo que gastó en impresión de billetes en los últimos años.",https://twitter.com/mariuvidal/status/1660759683588562950,Vidal,JxC
